time,Ia,Ib,Ic,label
0.0,0.009723142961349443,-0.9205675532493562,0.8927838477054542,Healthy
0.001,0.16825300882179123,-0.9812834890529508,0.7976517468762931,Healthy
0.002,0.34617530119030904,-1.032513484881112,0.6810953868234163,Healthy
0.003,0.49419898165812776,-1.025384735450986,0.5223556684698769,Healthy
0.004,0.6307760436992829,-1.0158497318739823,0.3713363941068532,Healthy
0.005,0.7438000153187874,-0.9560538519355917,0.20057439566663188,Healthy
0.006,0.8370513362447742,-0.8761055213062053,0.08104739301786044,Healthy
0.007,0.8728713549039205,-0.7929899006751812,-0.09463498027323713,Healthy
0.008,0.9150381276323004,-0.700296307369056,-0.24203543855621834,Healthy
0.009,0.9406235286721456,-0.5720826813805135,-0.3493437503969714,Healthy
0.01,0.9521456947633202,-0.4635780883909005,-0.4792177785906816,Healthy
0.011,0.9347038502245325,-0.35918924683610476,-0.6047307834583148,Healthy
0.012,0.9136479801038291,-0.2309355489964972,-0.7110753305900064,Healthy
0.013,0.883687113681373,-0.0973374005219829,-0.7884844664314467,Healthy
0.014,0.828657849125547,0.050816646531689685,-0.8936925043463013,Healthy
0.015,0.7360318329175295,0.21864044664254398,-0.9405018015233473,Healthy
0.016,0.6422630561393207,0.37480866399800283,-1.0023749991591357,Healthy
0.017,0.5302238550015852,0.5368916590330601,-1.0356259403336503,Healthy
0.018,0.3574593776593229,0.6896948864824946,-1.0189560008521406,Healthy
0.019,0.16234683777997258,0.8192518614654335,-0.9980575631264403,Healthy
0.02,0.0002449117600784639,0.9032626228202076,-0.9029454219210284,Healthy
0.021,-0.1696914440718893,0.9732973310025417,-0.7966234884007594,Healthy
0.022,-0.3548297763919397,0.9958709597125956,-0.6771528996334656,Healthy
0.023,-0.5146111823696223,1.0302149004555123,-0.5355033026292184,Healthy
0.024,-0.6223882888686849,0.9967770915919528,-0.3755199874338436,Healthy
0.025,-0.737221135989611,0.9517644044638502,-0.20114402791080357,Healthy
0.026,-0.8203869126436553,0.8722003905070721,-0.050904406006343404,Healthy
0.027,-0.9088799956551631,0.7894994065230296,0.0970494036444833,Healthy
0.028,-0.9301951746569864,0.6866685299651369,0.2141133361603187,Healthy
0.029,-0.9435130043898413,0.5831543395608397,0.3516117566269715,Healthy
0.03,-0.9497490518534575,0.46728746215012046,0.4671001779604118,Healthy
0.031,-0.9414654704554118,0.34925102203686786,0.5822058287278802,Healthy
0.032,-0.9116123777296798,0.24066665432620452,0.6768145965539877,Healthy
0.033,-0.8919293117109318,0.08274155916878397,0.7961182823751822,Healthy
0.034,-0.8232494707322493,-0.037067938551204486,0.8801784642636394,Healthy
0.035,-0.7447311676761782,-0.2381038508476984,0.9555213561694919,Healthy
0.036,-0.6372341350417912,-0.35531706210824254,1.0032803505888312,Healthy
0.037,-0.5020786478944509,-0.5189238518577298,1.0324432411633906,Healthy
0.038,-0.3534765668003849,-0.6731910055621921,1.0178450468380422,Healthy
0.039,-0.17099068683593324,-0.8083335923123774,0.9683568214084793,Healthy
0.04,0.010192275260714555,-0.906622850991782,0.8996807507556848,Healthy
0.041,0.1824249161632195,-0.9865551109239333,0.7862008976189231,Healthy
0.042,0.3585502615235638,-1.037424212072691,0.6637793955638583,Healthy
0.043,0.501452334889325,-1.0257338488185357,0.5208356491849804,Healthy
0.044,0.6268331854897925,-1.0029299112587142,0.37849069230695664,Healthy
0.045,0.7307232441883789,-0.9606976516143844,0.2143006846695346,Healthy
0.046,0.838164497229497,-0.8899266806230469,0.06974859584918505,Healthy
0.047,0.8781444019300321,-0.8106296634443363,-0.1031119172817969,Healthy
0.048,0.9254331899617156,-0.6943792115929673,-0.2362894027553482,Healthy
0.049,0.9406307685432378,-0.5830480657028517,-0.37624801805091435,Healthy
0.05,0.9590655836465081,-0.49373039643274796,-0.4877513092676006,Healthy
0.051,0.9289437456442412,-0.3275218083945541,-0.5771928434546792,Healthy
0.052,0.9406524132400929,-0.23079451538792772,-0.7029221492963933,Healthy
0.053,0.8791515987183787,-0.06024621673247313,-0.7915581880826245,Healthy
0.054,0.8205681845409772,0.06182807692423613,-0.872992574608429,Healthy
0.055,0.7435711228889113,0.21250562046968835,-0.9586448884900579,Healthy
0.056,0.6441968482405827,0.34764655505343417,-0.9999403877266884,Healthy
0.057,0.5031293781710561,0.5335689440817509,-1.0310997738614474,Healthy
0.058,0.34973978561745017,0.6535441808572394,-1.0294714274260464,Healthy
0.059,0.1843781699721587,0.8024002488347087,-0.9990357039076293,Healthy
0.06,0.0004626670515638859,0.8957999547336146,-0.9254296905712578,Healthy
0.061,-0.18068659234318177,0.9999368097985036,-0.8074240644286852,Healthy
0.062,-0.34872936519512576,1.0264471065946907,-0.682780011385624,Healthy
0.063,-0.5004919492658179,1.0497256725828537,-0.5372432938752776,Healthy
0.064,-0.6343186973751979,1.0023324879358293,-0.36078030976010755,Healthy
0.065,-0.7472572559342622,0.952929567802958,-0.20427479271282353,Healthy
0.066,-0.8194419578621307,0.8755461884486373,-0.05104869254010201,Healthy
0.067,-0.8993429963204627,0.7866103369479486,0.0853036353667818,Healthy
0.068,-0.9230467687164876,0.6881371544604301,0.22498082884198564,Healthy
0.069,-0.9365087578285233,0.588892535607338,0.3539691734904653,Healthy
0.07,-0.9555674481948964,0.48699833255646374,0.46320452872573015,Healthy
0.071,-0.936343140539701,0.36133775502957627,0.5978596583459153,Healthy
0.072,-0.9211651995969902,0.2251347527221761,0.6984572252393771,Healthy
0.073,-0.891906626106483,0.08304287096222883,0.7933416047418896,Healthy
0.074,-0.8229828926289772,-0.03542184887266388,0.8812131734727319,Healthy
0.075,-0.7489706297576267,-0.211567513369181,0.9478837942756398,Healthy
0.076,-0.6266841425286581,-0.3513869813789654,0.9862208465045965,Healthy
0.077,-0.5204814612971479,-0.5246918171954004,1.0281724348895203,Healthy
0.078,-0.3297313396780227,-0.6680421777424728,1.0246903669703618,Healthy
0.079,-0.17936546849743631,-0.8066886419687406,0.994268315983422,Healthy
0.08,-0.020943207699389177,-0.9034955034071862,0.9019094854690753,Healthy
0.081,0.16751030428398386,-0.9605595457743036,0.8064027461352176,Healthy
0.082,0.347755318798864,-1.0344473233284672,0.6848165704073842,Healthy
0.083,0.4989362599840364,-1.0266561520016269,0.5137796127414382,Healthy
0.084,0.6461387371579762,-1.0064631983817134,0.3807727734012706,Healthy
0.085,0.736779252572905,-0.9645840080167067,0.193589422000081,Healthy
0.086,0.8240068057516936,-0.8864974503764308,0.042617334241791406,Healthy
0.087,0.8910524526898194,-0.7793935566347299,-0.08771095654614793,Healthy
0.088,0.9103213103634156,-0.6948228337755061,-0.2340238183085488,Healthy
0.089,0.9422077696929411,-0.5910471484184953,-0.3495355718169537,Healthy
0.09,0.9406047942529601,-0.46395662271508237,-0.45991959740734406,Healthy
0.091,0.9332966257420041,-0.3233502532633674,-0.5703845592640238,Healthy
0.092,0.9372370545232603,-0.22639694998405618,-0.6989585570880805,Healthy
0.093,0.8737593671649175,-0.0783802230523745,-0.7948734826359033,Healthy
0.094,0.8281522059014035,0.05138421082371836,-0.8754963237173022,Healthy
0.095,0.7464295530914601,0.2136610988345887,-0.9479253585811973,Healthy
0.096,0.6381922091048243,0.3784726597613126,-0.9945832303371829,Healthy
0.097,0.5116322277112464,0.5268909896990198,-1.0404857429507062,Healthy
0.098,0.3458243093442971,0.6634836277419959,-1.0148422103748214,Healthy
0.099,0.18472132410507291,0.8068129161135951,-0.9778501136354095,Healthy
0.1,0.0001442121016995703,0.904412492547176,-0.9278345929434197,Healthy
0.101,-0.17572840040438442,0.981960261580352,-0.7973745237562312,Healthy
0.102,-0.3501654374024022,1.018060917986962,-0.6732316631846831,Healthy
0.103,-0.4997051838262838,1.0395308100335974,-0.534118646427587,Healthy
0.104,-0.6309353397914892,1.0044524798054117,-0.3739728427684574,Healthy
0.105,-0.7226876105591868,0.9447339064595924,-0.2206616445373276,Healthy
0.106,-0.824350611600463,0.8911360822190337,-0.05618660270559126,Healthy
0.107,-0.8928944724221528,0.7814622783073644,0.07947941192181196,Healthy
0.108,-0.9228427259967857,0.6980850113299446,0.24186745305131702,Healthy
0.109,-0.9504477592473491,0.5838294762025841,0.35984103278440427,Healthy
0.11,-0.9396344667421257,0.4724187763852,0.4645563287015418,Healthy
0.111,-0.9504968802622572,0.361106450829373,0.5698402553783352,Healthy
0.112,-0.9270139379659033,0.23173839893967202,0.6958781605773926,Healthy
0.113,-0.8924438719925788,0.09426984181824638,0.7978894007136413,Healthy
0.114,-0.8420180961404516,-0.06106429538904023,0.8757982076340735,Healthy
0.115,-0.7428232492941154,-0.22813471310158667,0.9461095852033607,Healthy
0.116,-0.6402601541823978,-0.36626084300181644,1.0163651087415628,Healthy
0.117,-0.49700935929203266,-0.515631869281479,1.0311733499606885,Healthy
0.118,-0.35116070736342464,-0.6697637836766623,1.0079574840387644,Healthy
0.119,-0.17177111638293008,-0.8173140442245979,0.9891132777609697,Healthy
0.12,0.004357046998807459,-0.934228081433191,0.9206712550948297,Healthy
0.121,0.18534440362496107,-0.9824196630137515,0.828960937290487,Healthy
0.122,0.3600878133696912,-1.018006620806342,0.6743617231429827,Healthy
0.123,0.5169047807824854,-1.0299312693086742,0.5349804369120074,Healthy
0.124,0.6442883210430747,-1.0078733348736078,0.38960480244158496,Healthy
0.125,0.7275733904669182,-0.9528855383702859,0.20460834138603165,Healthy
0.126,0.8137481419950213,-0.8914177544972021,0.038241903929970046,Healthy
0.127,0.8761460108903955,-0.7859190334330873,-0.09127138049730409,Healthy
0.128,0.9036416119831415,-0.6862327121360673,-0.24804418391094987,Healthy
0.129,0.9524930339604324,-0.5847193796585488,-0.3592554148355745,Healthy
0.13,0.9511308579327195,-0.46980264745847383,-0.47789546602499855,Healthy
0.131,0.9498553052385518,-0.3518196030609512,-0.5846985377424255,Healthy
0.132,0.9301431790222755,-0.2363829576588648,-0.7013412590338491,Healthy
0.133,0.8767605621532767,-0.10512990524222665,-0.7890322710899493,Healthy
