time,Ia,Ib,Ic,label
0.0,0.1326197779822324,-1.0435516915718241,1.0439596638837703,BrokenRotorBar
0.001,0.23048927854832554,-1.1103955553786697,0.8732409950415373,BrokenRotorBar
0.002,0.49991645078277375,-1.0902050456989951,0.6564053937881416,BrokenRotorBar
0.003,0.8955979598556219,-1.1142771051906257,0.5139298642757661,BrokenRotorBar
0.004,1.0231963803614677,-1.0670381110072231,0.3485046747113509,BrokenRotorBar
0.005,1.1518514016307566,-1.0703618920267286,0.20091198855764109,BrokenRotorBar
0.006,1.3042959695777232,-0.8948879805709262,-0.08874888222073599,BrokenRotorBar
0.007,1.241987795417493,-0.7074638792036438,-0.27406972332333795,BrokenRotorBar
0.008,1.265135703127762,-0.5138235741165249,-0.31439342256032454,BrokenRotorBar
0.009,1.2497763321087887,-0.3621216042212805,-0.5476402024795953,BrokenRotorBar
0.01,1.2744907427064784,-0.19124434068112034,-0.7367252969682913,BrokenRotorBar
0.011,1.0014699850123712,-0.12720649182509558,-0.7701144500136563,BrokenRotorBar
0.012,1.0099850787098446,0.02427460093044225,-0.7818657032983934,BrokenRotorBar
0.013,0.8038910149845614,0.15417232000089354,-0.8532315267612501,BrokenRotorBar
0.014,0.7221574799669205,0.3281385432325451,-0.851605051952324,BrokenRotorBar
0.015,0.591991097107647,0.35535765831764754,-0.8202832459021294,BrokenRotorBar
0.016,0.43563387099235523,0.3549613298228204,-0.7040327852978079,BrokenRotorBar
0.017,0.3251483534083944,0.44195888937702044,-0.7906573514755046,BrokenRotorBar
0.018,0.2812223780408841,0.4757401723059419,-0.7257833711954866,BrokenRotorBar
0.019,0.093767136492864,0.4984053832043023,-0.6182528606324058,BrokenRotorBar
0.02,0.04359980097969724,0.6194537471245021,-0.6338952912091798,BrokenRotorBar
0.021,-0.09998210808301097,0.6637821230225303,-0.5482483453246605,BrokenRotorBar
0.022,-0.09347289735959859,0.5794962485560143,-0.5341297125466214,BrokenRotorBar
0.023,-0.39979890672170326,0.5864370465532995,-0.473129465975505,BrokenRotorBar
0.024,-0.4063825782100823,0.7399034163389314,-0.403438668760568,BrokenRotorBar
0.025,-0.532110928714813,0.7718237489068279,-0.29369340965735946,BrokenRotorBar
0.026,-0.5880492972797813,0.7109064119607863,-0.2079873575667196,BrokenRotorBar
0.027,-0.8326533586869534,0.7812203523481771,-0.1239033715558442,BrokenRotorBar
0.028,-0.9890312594432936,0.7973169825457231,-0.03206935385597425,BrokenRotorBar
0.029,-1.1187556967142809,0.7876206049682074,0.11604194467786642,BrokenRotorBar
0.03,-1.3050905984169503,0.6104666881621112,0.2675965725307293,BrokenRotorBar
0.031,-1.2636073499248344,0.5143269607435066,0.38522463054885114,BrokenRotorBar
0.032,-1.312879253293669,0.5061294488960959,0.6325302636905956,BrokenRotorBar
0.033,-1.2506595209597773,0.21341609398748287,0.7613021118297308,BrokenRotorBar
0.034,-1.2592691892805048,0.1444223155652123,0.9229167341477554,BrokenRotorBar
0.035,-1.2181924212542037,-0.1482682949242828,1.0429730918100337,BrokenRotorBar
0.036,-1.0173010218486416,-0.27611265712119115,1.1662061901266012,BrokenRotorBar
0.037,-0.7652473579473609,-0.4445258817905834,1.1053240758925003,BrokenRotorBar
0.038,-0.41853526281626713,-0.6296488948845447,1.074475876645635,BrokenRotorBar
0.039,-0.28341042097301783,-0.8734938582994602,1.1099032594155285,BrokenRotorBar
0.04,0.0309030510913785,-0.8655369918504779,1.1041920240427172,BrokenRotorBar
0.041,0.2715551863275014,-1.1154663685313517,0.8426968233771462,BrokenRotorBar
0.042,0.5442990050997428,-1.187534313721755,0.6645897735878005,BrokenRotorBar
0.043,0.9426169647401589,-1.0721971098643468,0.39798132727296986,BrokenRotorBar
0.044,1.0763070076448893,-1.139927071285129,0.2408129411687845,BrokenRotorBar
0.045,1.0768513309292571,-1.0041234270232633,0.08165119073350552,BrokenRotorBar
0.046,1.302373809802402,-0.9865442162417148,-0.12072992456349965,BrokenRotorBar
0.047,1.3730084297309424,-0.6914778779691345,-0.20153114098796254,BrokenRotorBar
0.048,1.2531045638035598,-0.5026352302477811,-0.4588638877110374,BrokenRotorBar
0.049,1.2955447425459738,-0.428997532533553,-0.6163980269171726,BrokenRotorBar
0.05,1.277247535848079,-0.18174380070555152,-0.6784672617002117,BrokenRotorBar
0.051,1.2656553720128099,-0.08752438215147591,-0.7635234115741185,BrokenRotorBar
0.052,0.9398555534470017,0.08291705960902099,-0.7450605770173159,BrokenRotorBar
